ingredient,attribute,density,density_avg
shortening cake mix,soybean (hydrogenated) and cottonseed (hydrogenated),0.862457483,0.862457483
shortening confectionery,coconut (hydrogenated) and or palm kernel (hydrogenated),0.862457483,0.862457483
shortening frying (heavy duty),beef tallow and cottonseed,0.862457483,0.862457483
shortening frying (heavy duty),palm (hydrogenated),0.862457483,0.862457483
shortening frying (heavy duty),soybean (hydrogenated),0.862457483,0.862457483
shortening household soybean (hydrogenated) and palm,,0.862457483,0.862457483
shortening industrial,lard and vegetable oil,0.862457483,0.862457483
shortening industrial,soybean (hydrogenated) and cottonseed,0.862457483,0.862457483
soymilk,,1.0125,1.0125
kraft,,0.354166667,0.221299603
popcorn,,0.038630952,0.221299603
potato chips,,0.141666667,0.221299603
potato sticks,,0.075,0.221299603
tortilla chips,,0.108333333,0.221299603
trail mix,,0.61,0.221299603
sorghum flour,refined,0.670833333,0.5875
sorghum flour,whole-grain,0.504166667,0.5875
sorghum grain,,0.8,0.8
bean & ham soup,bean & ham,1.020833333,1.020833333
bean with pork soup,bean with pork,0.541666667,0.541666667
beef and mushroom soup,beef and mushroom,1.045833333,1.045833333
beef and vegetables soup,beef and vegetables,1.03125,1.03125
beef barley soup,beef barley,0.866666667,0.866666667
beef broth,,0.9125,0.9125
beef broth bouillon and consomme soup,beef broth bouillon and consomme,0.516666667,0.516666667
beef broth or bouillon canned soup,beef broth or bouillon canned,1,1
beef noodle soup,beef noodle,0.520833333,0.520833333
beef stroganoff soup,beef stroganoff,1,1
black bean soup,black bean,1.029166667,1.029166667
bouillon cubes and granules soup,bouillon cubes and granules,0.530612245,0.530612245
cheese soup,cheese,0.78125,0.78125
chicken soup,chicken,1.020833333,1.020833333
chicken and vegetable soup,chicken and vegetable,1.0625,1.0625
chicken broth,,1.0125,1.0125
chicken gumbo soup,chicken gumbo,1.016666667,1.016666667
chicken mushroom soup,chicken mushroom,0.516666667,0.516666667
chicken noodle soup,chicken noodle,0.852777778,0.852777778
chicken rice soup,chicken rice,1,1
chicken vegetable soup,chicken vegetable,0.504166667,0.504166667
chicken vegetable with potato and cheese soup,chicken vegetable with potato and cheese,1.020833333,1.020833333
chicken with rice soup,chicken with rice,0.525,0.525
chili beef soup,chili beef,1.0875,1.0875
chunky beef soup,chunky beef,1.020833333,1.020833333
chunky chicken noodle soup,chunky chicken noodle,1.0125,1.0125
chunky vegetable soup,chunky vegetable,0.979166667,0.979166667
clam chowder soup,clam chowder,0.883333333,0.883333333
cream of celery soup,cream of celery,0.779166667,0.779166667
cream of chicken soup,cream of chicken,0.766666667,0.766666667
cream of mushroom soup,cream of mushroom,0.8625,0.8625
cream of onion soup,cream of onion,0.525,0.525
cream of potato soup,cream of potato,0.516666667,0.516666667
cream of shrimp soup,cream of shrimp,0.770833333,0.770833333
egg drop soup,egg drop,1.004166667,1.004166667
hot and sour soup,hot and sour,0.970833333,0.970833333
minestrone soup,minestrone,1.010416667,1.010416667
pea soup,pea,0.870833333,0.870833333
shark fin soup,shark fin,0.9,0.9
broth soup,stock,0.990277778,0.990277778
swanson soup,swanson,0.902083333,0.902083333
tomato soup,tomato,0.616666667,0.616666667
tomato beef with noodle soup,tomato beef with noodle,1.016666667,1.016666667
tomato rice soup,tomato rice,1.029166667,1.029166667
turkey noodle soup,turkey noodle,1.016666667,1.016666667
vegetable soup,vegetable,0.525,0.525
vegetable beef soup,vegetable beef,0.525,0.525
vegetable broth,,0.920833333,0.920833333
vegetable chicken soup,vegetable chicken,1.004166667,1.004166667
vegetable soup soup,vegetable soup,1.054166667,1.054166667
vegetable with beef broth soup,vegetable with beef broth,0.5125,0.5125
vegetarian vegetable soup,vegetarian vegetable,0.764583333,0.764583333
wonton soup,wonton,0.929166667,0.929166667
sour cream,fat free,0.958333333,0.958333333
sour cream,imitation,0.958333333,0.958333333
sour cream,light,0.958333333,0.958333333
sour cream,reduced fat,0.958333333,0.958333333
sour dressing,non-butterfat,0.897746599,0.897746599
soy flour,defatted,0.443239796,0.390376984
soy flour,full-fat,0.353741497,0.390376984
soy flour,low-fat,0.37414966,0.390376984
soy meal,defatted,0.508333333,0.508333333
soy sauce,reduced sodium,0.754024943,0.754024943
soy sauce made from hydrolyzed vegetable protein,,0.896882086,0.896882086
soy sauce made from soy (tamari),,1.224489796,1.224489796
soy sauce made from soy and wheat (shoyu),,1.077522676,1.029903628
soy sauce made from soy and wheat (shoyu),low sodium,0.98228458,1.029903628
soybean,curd cheese,0.9375,0.9375
soybeans,green,0.855555556,0.702680933
soybeans,mature cooked,0.722278912,0.702680933
soybeans,mature seeds,0.530208333,0.702680933
soybean drink,chocolate,1.0125,1.0125
soybean drink,chocolate and other flavors,1.0125,1.0125
soybean drink,original and vanilla,1.0125,1.0125
soymilk,enhanced,1.0125,1.0125
soymilk,lowfat,1.0125,1.0125
soymilk,nonfat,1.0125,1.0125
soymilk,unsweetened,1.0125,1.0125
spaghetti,protein-fortified,0.583333333,0.730555556
spaghetti,spinach,0.583333333,0.730555556
spaghetti,with meatballs in tomato sauce,1.025,0.730555556
spanish rice mix,dry mix,0.524319728,0.524319728
spearmint,dried,0.105442177,0.44047619
spearmint,fresh,0.775510204,0.44047619
spelt,cooked,0.808333333,0.766666667
spelt,uncooked,0.725,0.766666667
allspice,,0.397959184,0.397959184
caraway seeds,,0.442176871,0.442176871
celery seeds,,0.425170068,0.425170068
chervil,,0.12585034,0.12585034
chili powder,,0.547619048,0.547619048
cinnamon,,0.530612245,0.530612245
cloves,,0.43537415,0.43537415
coriander leaf,,0.12244898,0.12244898
coriander seeds,,0.353741497,0.353741497
curry,powder,0.418367347,0.418367347
dill seeds,,0.43877551,0.43877551
dill weed,,0.207482993,0.207482993
fenugreek seeds,,0.755102041,0.755102041
garlic powder,,0.646258503,0.646258503
ginger,,0.360544218,0.360544218
mace,,0.353741497,0.353741497
marjoram,,0.119047619,0.119047619
mustard seeds,,0.418367347,0.418367347
nutmeg,,0.462585034,0.462585034
onion powder,,0.479591837,0.479591837
paprika,,0.465986395,0.465986395
parsley,,0.105442177,0.105442177
pepper,,0.363945578,0.363945578
poppy seeds,,0.585034014,0.585034014
poultry seasoning,,0.302721088,0.302721088
pumpkin pie spice,,0.363945578,0.363945578
rosemary,,0.234693878,0.234693878
saffron,,0.142857143,0.142857143
sage,,0.139455782,0.139455782
savory,,0.292517007,0.292517007
turmeric,,0.62585034,0.62585034
spice,,0.376234365,0.376234365
spinach,canned,0.947222222,0.575694444
spinach,cooked,0.75,0.575694444
spinach,frozen,0.480555556,0.575694444
spinach,raw,0.125,0.575694444
spinach souffle,,0.566666667,0.566666667
split pea soup,canned,1.054166667,1.054166667
split pea with ham soup,canned,1.020833333,1.020833333
squash,summer,0.934722222,0.790277778
squash,winter,0.645833333,0.790277778
stinging nettles,blanched (northern plains indians),0.370833333,0.370833333
strawberry,canned,1.058333333,1.058333333
succotash,(corn and limas),0.833928571,0.833928571
sugar,turbinado,0.890221088,0.890221088
sugars,granulated,0.845238095,0.655895692
sugars,maple,0.612244898,0.655895692
icing sugar,powdered,0.510204082,0.510204082
sweet potato,canned,0.943055556,0.888194444
sweet potato,cooked,0.833333333,0.888194444
sweet potato leaves,cooked,0.266666667,0.266666667
sweetener,syrup,0.818664966,0.818664966
sweeteners,for baking,0.873278061,0.591135204
sweeteners,sugar substitute,0.098937075,0.591135204
sweeteners,tabletop,0.801190476,0.591135204
chocolate syrup,chocolate,1.857823129,1.377370323
corn syrup,corn,1.371471088,1.377370323
grenadine syrup,grenadine,1.363945578,1.377370323
malt syrup,malt,1.405952381,1.377370323
maple syrup,maple,1.336522109,1.377370323
sorghum syrup,sorghum,1.401785714,1.377370323
sugar free syrup,sugar free,1.010204082,1.377370323
table blends syrup,table blends,1.271258503,1.377370323
macaroni & cheese,,0.6,0.6
tamarind nectar,canned,1.045833333,1.045833333
tangerine juice,raw,1.029166667,1.029166667
tangerines,(mandarin oranges),0.958333333,0.958333333
tapioca,pearl,0.633333333,0.633333333
taro,leaves,0.604166667,0.604166667
taro leaves,cooked,0.604166667,0.360416667
taro leaves,raw,0.116666667,0.360416667
teff,cooked,1.05,0.927083333
teff,uncooked,0.804166667,0.927083333
tempeh,,0.691666667,0.691666667
thyme,fresh,0.12244898,0.12244898
tofu,firm,0.525,0.522916667
tofu,raw,0.520833333,0.522916667
tofu yogurt,,1.091666667,1.091666667
tomato and vegetable juice,low sodium,1.008333333,1.008333333
tomato juice,canned,1.0125,1.0125
tomato products,canned,1.003119202,1.003119202
tomato sauce,canned,1.020833333,1.020833333
tomato,crushed,0.504166667,0.630502409
tomato,green,0.75,0.630502409
tomato,red,0.926176304,0.630502409
tomato,dried,0.341666667,0.630502409
toppings,butterscotch or caramel,2.789115646,2.285204082
toppings,nut in syrup,2.077891156,2.285204082
toppings,pineapple,2.136904762,2.285204082
toppings,strawberry,2.136904762,2.285204082
tortellini,pasta with cheese filling,0.3375,0.3375
triticale,,0.8,0.8
triticale flour,whole-grain,0.541666667,0.541666667
turnip greens,canned,0.54375,0.528125
turnip greens,frozen,0.5125,0.528125
turnip greens and turnips,frozen,0.572222222,0.572222222
turnips,frozen,0.65,0.65
vanilla,,0.869387755,0.869387755
vanilla extract,,0.869387755,0.869387755
vegetable juice,bolthouse farms,1.120833333,1.120833333
vegetable juice cocktail,canned,1.054166667,1.05625
vegetable juice cocktail,low sodium,1.058333333,1.05625
vegetable oil,palm kernel,0.908333333,0.908333333
vegetable oil-butter spread,reduced calorie,0.873426871,0.873426871
mixed vegetables,,0.614583333,0.686458333
vegetables,mixed (corn,0.758333333,0.686458333
vermicelli,made from soy,0.583333333,0.583333333
balsamic vinegar,balsamic,1.077522676,1.077522676
apple vinegar,cider,1.00994898,1.00994898
distilled vinegar,distilled,1.008560091,1.008560091
red wine vinegar,red wine,1.00994898,1.00994898
white wine vinegar,white wine,1.00994898,1.00994898
vinegar,,1.026495181,1.026495181
vitasoy usa,vitasoy light vanilla soymilk,1.0125,1.0125
vitasoy usa,vitasoy organic classic original soymilk,1.0125,1.0125
vitasoy usa,vitasoy organic creamy original soymilk,1.0125,1.0125
water,bottled,0.9875,0.9875
wheat,durum,0.8,0.724479167
wheat,hard red spring,0.8,0.724479167
wheat,hard red winter,0.8,0.724479167
wheat,hard white,0.8,0.724479167
wheat,kamut khorasan,0.745833333,0.724479167
wheat,soft red winter,0.7,0.724479167
wheat,soft white,0.7,0.724479167
wheat,sprouted,0.45,0.724479167
wheat bran,crude,0.241666667,0.241666667
wheat flour,white,0.519642857,0.519642857
wholewheat flour,whole-grain (includes foods for usda's food distribution program),0.5,0.5
flour,wheat,0.519642857,0.519642857
wheat germ,crude,0.479166667,0.479166667
whey,acid,0.414264456,0.538329082
whey,sweet,0.662393707,0.538329082
whipped cream substitute,dietetic,0.333333333,0.333333333
whipped topping,frozen,0.3125,0.3125
wild rice,cooked,0.683333333,0.675
wild rice,raw,0.666666667,0.675
winged bean,immature seeds,0.19375,0.19375
winged beans,immature seeds,0.258333333,0.494444444
winged beans,mature seeds,0.730555556,0.494444444
yambean (jicama),raw,0.541666667,0.541666667
yardlong beans,mature seeds,0.706944444,0.706944444
yeast extract spread,,1.224489796,1.224489796
yogurt,frozen,0.283333333,0.283333333
cocoa powder,,0.55,0.55
chili,,0.5,0.5
red chili,,0.5,0.5
rape oil,rapeseed,0.92,0.92
schmand,,0.95,0.95
herbs,,0.3,0.3
basil,,0.3,0.3
oregano,,0.3,0.3
cumin,,0.3,0.3
caraway,,0.3,0.3
dill,,0.3,0.3
cardamom,,0.3,0.3
mint,,0.3,0.3
linseed,,0.4,0.4
anise,,0.4,0.4
chia seeds,,0.4,0.4
